1: 1 
2: 2 
3: 3 
4: 4 
5: Fizz 
6: 6 
7: Buzz 
8: 8 
9: 9 
10: Fizz 
11: 11 
12: 12 
13: 13 
14: Buzz 
15: Fizz 
16: 16 
17: 17 
18: 18 
19: 19 
20: Fizz 
21: Buzz 
22: 22 
23: 23 
24: 24 
25: Fizz 
26: 26 
27: 27 
28: Buzz 
29: 29 
30: Fizz 
31: 31 
32: 32 
33: 33 
34: 34 
35: FizzBuzz 
36: 36 
37: 37 
38: 38 
39: 39 
40: Fizz 
41: 41 
42: Buzz 
43: 43 
44: 44 
45: Fizz 
46: 46 
47: 47 
48: 48 
49: Buzz 
50: Fizz 
51: 51 
52: 52 
53: 53 
54: 54 
55: Fizz 
56: Buzz 
57: 57 
58: 58 
59: 59 
60: Fizz 
61: 61 
62: 62 
63: Buzz 
64: 64 
65: Fizz 
66: 66 
67: 67 
68: 68 
69: 69 
70: FizzBuzz 
71: 71 
72: 72 
73: 73 
74: 74 
75: Fizz 
76: 76 
77: Buzz 
78: 78 
79: 79 
80: Fizz 
81: 81 
82: 82 
83: 83 
84: Buzz 
85: Fizz 
86: 86 
87: 87 
88: 88 
89: 89 
90: Fizz 
91: Buzz 
92: 92 
93: 93 
94: 94 
95: Fizz 
96: 96 
97: 97 
98: Buzz 
99: 99 
100: Fizz 
